keys,description,es
dailyBankingAccounts,Accounts,Cuentas
dailyBankingAccountsAvailableBalance,Available balance,Saldo disponible
dailyBankingAccountsAccount,Account,Cuenta
dailyBankingAccountsAddMoney,Button Add money,Añadir dinero
dailyBankingAccountsSendMoney,Button Send money,Enviar dinero
dailyBankingAccountsSchedule,Button Schedule,Programado
dailyBankingAccountsMovements,Movements,Movimientos
dailyBankingAccountsAddAccount,Add account,Añadir cuenta
dailyBankingAccountsMenuAccount,Menu account option accounts,Cuentas
dailyBankingAccountsMenuSeeDetails,Menu account option see details,Ver detalles
dailyBankingAccountsMenuPayTax,Menu account option pay tax,Pagar un impuesto
dailyBankingAccountsMenuCertsAndDocs,Menu account option certificates and documents,Certificados y documentos
dailyBankingAccountsFiltersMovementTypes,Modal filters movement types,Tipo de movimiento
dailyBankingAccountsFiltersMovementTypesCard,Filter movement type card,Tarjeta
dailyBankingAccountsFiltersMovementTypesDomiciliations,Filter movement type domiciliations,Domiciliaciones
dailyBankingAccountsFiltersMovementTypesReceipts,Filter movement type receipts,Recibos
dailyBankingAccountsFiltersMovementTypesTrasnfersSent,Filter movement type transfers sent,Transferencias emitidas
dailyBankingAccountsFiltersMovementTypesTaxes,Filter movement type taxes,Impuestos
dailyBankingAccountsFiltersMovementTypesTransfersReceived,Filter movement type transfers received,Transferencias recibidas
dailyBankingAccountsFiltersRecentCategories,Filter recent categories,Categorías recientes
dailyBankingAccountsPageTitle,Title of page of accounts,Cuentas
dailyBankingAccountsPageSubtitle,Subtitle of page of accounts,Cuentas
dailyBankingAccountsPageDescription,Description of page of accounts,Selecciona las cuentas que quieres que estén visibles en la pantalla de inicio.
dailyBankingAccountsPageButton,Button to select account,Seleccionar cuenta
dailyBankingAccountsDetailsTitle,Title of page of account details,Detalles de la cuenta
dailyBankingAccountsDetailsAvailableBalance,Available balance,Saldo disponible
dailyBankingAccountsDetailsAccountName,Account name,Nombre de la cuenta
dailyBankingAccountsDetailsAccountAlias,Account alias,Alias de la cuenta
dailyBankingAccountsDetailsBeneficiary,Beneficiary,Beneficiario
dailyBankingAccountsDetailsIban,IBAN,IBAN
dailyBankingAccountsDetailsBicSwift,Bic swift,Código BIC/Swift
dailyBankingAccountsDetailsBankName,Bank name,Nombre y dirección del banco
dailyBankingAccountsDetailsTitleCertificate,Title certificate,Solicitar certificado de titularidad
dailyBankingAccountsPaymentTaxTitle,Title of page of payment tax,Liquidación de impuestos
dailyBankingAccountsPaymentTaxModel,Model,Modelo
